,result,table,_start,_stop,_time,_value,_field,_measurement,agent_host,host,placement,plugin,rack,server
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:49Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:50Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:51Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:52Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:53Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:54Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:55Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:56Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:57Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:58Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:59Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:00Z,34,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:01Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:02Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:03Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:04Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:05Z,33,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:06Z,33,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:07Z,33,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:08Z,33,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:09Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:10Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:11Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:12Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:13Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:14Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:15Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:16Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:17Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:18Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:19Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:20Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:21Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:22Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:23Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:24Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:25Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:26Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:27Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:28Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:29Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:30Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:31Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:32Z,30,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:33Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:34Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:35Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:36Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:37Z,39,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:38Z,39,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:39Z,39,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:40Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:41Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:42Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:43Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:44Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:45Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:46Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:47Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:48Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:49Z,31,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:50Z,31,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:51Z,31,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:52Z,31,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:53Z,26,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:54Z,26,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:55Z,26,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:56Z,26,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:57Z,26,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:58Z,36,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:01:59Z,36,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:00Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:01Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:02Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:03Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:04Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:05Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:06Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:07Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:08Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:09Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:02:10Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
