,result,table,_start,_stop,_time,_value,_field,_measurement,domain,host,resource_consumer_kind,resource_id,resource_kind,server,url
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:35Z,5.5644378662109375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:36Z,5.4608306884765625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:37Z,5.6175537109375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:38Z,5.38873291015625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:39Z,6.6657257080078125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:40Z,5.5322723388671875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:41Z,7.185150146484375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:42Z,5.05914306640625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:43Z,6.0308990478515625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:44Z,6.585540771484375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:45Z,6.573974609375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:46Z,5.2950439453125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
