,result,table,_start,_stop,_time,_value,_field,_measurement,domain_id,domain_name,host,server,socket_id,url
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:23Z,93479,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:26Z,117481,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:29Z,84094,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:32Z,131961,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:35Z,113382,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:38Z,178086,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:41Z,224134,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:44Z,138371,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:47Z,104604,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:50Z,129435,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:53Z,101865,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:56Z,105337,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:59Z,91894,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:02Z,147993,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:05Z,151467,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:08Z,126350,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:11Z,102544,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:14Z,104856,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:17Z,240016,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:20Z,188223,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:23Z,135975,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:26Z,127639,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:29Z,81464,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
